Deskriptive Statistiken der Features pro Cluster (Mittelwert, Standardabweichung, etc.):

--- Cluster 0 ---
                                                        count           mean            std          min            25%            50%            75%           max
stats_boost_amount_stolen                             22832.0     123.544017     113.368885  0.0      12.000000     109.000000     201.000000  6.340000e+02
stats_boost_amount_collected_big                      22832.0     533.924054     414.133317  0.0      58.000000     582.000000     855.000000  1.979000e+03
stats_boost_amount_stolen_big                         22832.0      63.547565      82.983316  0.0       0.000000       0.000000     100.000000  5.300000e+02
stats_boost_amount_collected_small                    22832.0     311.102970     355.851478  0.0      60.000000     261.000000     419.250000  2.936000e+03
stats_boost_amount_stolen_small                       22832.0      59.996452      54.174858  0.0      10.000000      54.000000      95.000000  5.380000e+02
stats_boost_count_collected_big                       22832.0       6.470874       5.035769  0.0       1.000000       7.000000      10.000000  2.700000e+01
stats_boost_count_stolen_big                          22832.0       0.778118       0.989232  0.0       0.000000       0.000000       1.000000  8.000000e+00
stats_boost_count_collected_small                     22832.0      23.163805      18.313616  0.0       5.000000      23.000000      36.000000  2.430000e+02
stats_boost_count_stolen_small                        22832.0       5.212728       4.520694  0.0       1.000000       5.000000       8.000000  4.700000e+01
stats_boost_amount_overfill                           22832.0     109.983882     114.466766  0.0       4.000000      83.000000     175.000000  8.360000e+02
stats_boost_amount_overfill_stolen                    22832.0      13.690785      27.086396  0.0       0.000000       0.000000      13.000000  3.010000e+02
stats_boost_amount_used_while_supersonic              22832.0      90.268965      80.135879  0.0      28.000000      76.000000     134.000000  1.218000e+03
stats_boost_percent_zero_boost                        22832.0       9.093241       7.546788  0.0       2.888627       8.376276      13.322610  7.181162e+01
stats_boost_percent_full_boost                        22832.0      11.363079       7.955924  0.0       6.144179      10.503356      15.544439  8.363324e+01
stats_boost_percent_boost_0_25                        22832.0      29.767206      16.696189  0.0      20.354622      29.919206      38.725868  1.000000e+02
stats_boost_percent_boost_25_50                       22832.0      22.593833      11.822444  0.0      17.329534      22.809203      28.345571  1.000000e+02
stats_boost_percent_boost_50_75                       22832.0      16.489668       9.597188  0.0      10.863565      16.394736      22.170841  1.000000e+02
stats_boost_percent_boost_75_100                      22832.0      23.931354      13.113645  0.0      16.659255      24.172714      31.708577  1.000000e+02
stats_movement_avg_speed                              22832.0    1377.098196     286.784831  0.0    1344.000000    1431.000000    1509.000000  2.219000e+03
stats_movement_total_distance                         22832.0  264922.407016  148187.282194  0.0  168678.750000  256403.000000  388829.250000  1.260545e+06
stats_movement_time_powerslide                        22832.0       3.377887       2.729219  0.0       1.590000       2.980000       4.650000  1.041600e+02
stats_movement_count_powerslide                       22832.0      27.027549      19.588341  0.0      13.000000      24.000000      38.000000  2.680000e+02
stats_movement_avg_powerslide_duration                22832.0       0.125824       0.086887  0.0       0.100000       0.120000       0.140000  3.590000e+00
stats_movement_avg_speed_percentage                   22832.0      59.873835      12.468906  0.0      58.434784      62.217392      65.608696  9.647826e+01
stats_movement_percent_slow_speed                     22832.0      55.043839      13.784107  0.0      48.665765      54.335030      60.820170  1.000000e+02
stats_movement_percent_boost_speed                    22832.0      32.830829       9.548131  0.0      30.072290      34.471623      38.312945  1.000000e+02
stats_movement_percent_supersonic_speed               22832.0      10.171933       5.829371  0.0       6.367677       9.720107      13.507626  7.286822e+01
stats_movement_percent_ground                         22832.0      56.345642      13.679013  0.0      51.469868      56.585201      61.713713  1.000000e+02
stats_movement_percent_low_air                        22832.0      36.818894      10.940123  0.0      33.535702      37.992373      42.185658  1.000000e+02
stats_movement_percent_high_air                       22832.0       4.882065       3.771988  0.0       2.348129       4.467423       6.823084  1.000000e+02
stats_positioning_avg_distance_to_ball                22832.0    2672.166083     710.376375  0.0    2321.000000    2627.500000    2974.250000  9.674000e+03
stats_positioning_avg_distance_to_ball_possession     22832.0    2452.819508     920.354439  0.0    2054.000000    2441.000000    2878.000000  9.624000e+03
stats_positioning_avg_distance_to_ball_no_possession  22832.0    2652.810398     814.805567  0.0    2355.000000    2685.000000    3030.250000  9.674000e+03
stats_positioning_avg_distance_to_mates               22832.0    3149.920769     797.812457  0.0    2849.000000    3203.000000    3549.000000  9.292000e+03
stats_positioning_percent_defensive_third             22832.0      52.270941      15.940995  0.0      43.923030      52.537545      59.962294  1.000000e+02
stats_positioning_percent_offensive_third             22832.0      15.158708       8.509194  0.0      10.597507      14.949938      19.533771  1.000000e+02
stats_positioning_percent_neutral_third               22832.0      30.616953      11.057264  0.0      25.848191      30.538683      36.249946  1.000000e+02
stats_positioning_percent_defensive_half              22832.0      69.606699      15.097163  0.0      63.840230      70.493545      76.767696  1.000000e+02
stats_positioning_percent_offensive_half              22832.0      28.439902      12.145190  0.0      22.628006      28.998542      35.509679  1.000000e+02
stats_positioning_percent_behind_ball                 22832.0      70.765681      14.376678  0.0      65.855700      71.531170      77.603467  1.000000e+02
stats_positioning_percent_infront_ball                22832.0      27.280920      11.033679  0.0      21.789661      28.053784      33.607639  1.000000e+02
