Deskriptive Statistiken der Features pro Cluster (Mittelwert, Standardabweichung, etc.):

--- Cluster 0 ---
                                                        count           mean            std          min            25%            50%            75%           max
stats_movement_percent_ground                         26725.0      55.892773      12.845010  0.0      51.210926      56.006767      60.847496  1.000000e+02
stats_movement_percent_low_air                        26725.0      37.443242      10.394598  0.0      34.229095      38.521492      42.502254  1.000000e+02
stats_movement_percent_high_air                       26725.0       4.995135       3.657921  0.0       2.578732       4.624414       6.914294  1.000000e+02
stats_positioning_avg_distance_to_ball                26725.0    2643.580580     676.417389  0.0    2302.000000    2594.000000    2934.000000  9.674000e+03
stats_positioning_avg_distance_to_ball_possession     26725.0    2427.537811     873.790474  0.0    2040.000000    2412.000000    2828.000000  9.624000e+03
stats_positioning_avg_distance_to_ball_no_possession  26725.0    2643.535379     778.264914  0.0    2345.000000    2663.000000    3005.000000  9.865000e+03
stats_positioning_avg_distance_to_mates               26725.0    3151.397156     766.724908  0.0    2856.000000    3194.000000    3539.000000  9.292000e+03
stats_positioning_percent_defensive_third             26725.0      51.216044      15.177987  0.0      43.110390      51.135340      58.522680  1.000000e+02
stats_positioning_percent_offensive_third             26725.0      16.157854       8.572176  0.0      11.457921      15.949205      20.688150  1.000000e+02
stats_positioning_percent_neutral_third               26725.0      30.957252      10.446287  0.0      26.457764      30.947000      36.172330  1.000000e+02
stats_positioning_percent_defensive_half              26725.0      68.586130      14.438551  0.0      62.734707      69.222336      75.569040  1.000000e+02
stats_positioning_percent_offensive_half              26725.0      29.745020      11.985382  0.0      23.937922      30.363626      36.786050  1.000000e+02
stats_positioning_percent_behind_ball                 26725.0      71.234629      13.704367  0.0      66.204240      71.876910      78.037640  1.000000e+02
stats_positioning_percent_infront_ball                26725.0      27.096522      10.683963  0.0      21.382290      27.744183      33.356876  1.000000e+02
stats_positioning_percent_most_back                   26725.0      43.465449      16.072945  0.0      34.035877      43.779835      52.942890  4.123711e+02
stats_positioning_percent_most_forward                26725.0      39.579676      15.838459  0.0      30.190159      39.544106      48.700462  4.123711e+02
stats_positioning_percent_closest_to_ball             26725.0      40.010032      14.811922  0.0      31.419804      39.594055      48.562935  4.123711e+02
stats_positioning_goals_against_while_last_defender   26725.0       0.950309       1.155964  0.0       0.000000       1.000000       2.000000  1.300000e+01
stats_positioning_percent_farthest_from_ball          26725.0      42.878175      15.620768  0.0      33.171757      43.087240      52.370724  4.123711e+02
stats_demo_inflicted                                  26725.0       0.350496       0.695902  0.0       0.000000       0.000000       1.000000  2.200000e+01
stats_demo_taken                                      26725.0       0.503012       0.845075  0.0       0.000000       0.000000       1.000000  1.800000e+01
rank_tier                                             26725.0      10.225145       9.575909  0.0       0.000000      16.000000      19.000000  2.200000e+01
rank_division                                         26725.0       1.304883       1.473990  0.0       0.000000       1.000000       3.000000  4.000000e+00
tod_sin                                               26725.0      -0.475525       0.499512 -1.0      -0.894350      -0.628812      -0.162178  9.999988e-01
tod_cos                                               26725.0       0.294469       0.661572 -1.0      -0.241428       0.518711       0.887949  1.000000e+00

--- Cluster 3 ---
                                                        count           mean           std         min            25%            50%            75%           max
team_result                                           75445.0       0.529260      0.506396    0.000000       0.000000       1.000000       1.000000  2.000000e+00
team_size                                             75445.0       2.001471      0.249139    1.000000       2.000000       2.000000       2.000000  4.000000e+00
duration                                              75445.0     342.828193     62.901313    1.000000     318.000000     352.000000     376.000000  2.170000e+03
overtime_seconds                                      75445.0       6.147883     31.451257    0.000000       0.000000       0.000000       0.000000  3.447000e+03
stats_core_shots                                      75445.0       4.289164      2.306097    0.000000       3.000000       4.000000       6.000000  7.800000e+01
stats_core_shots_against                              75445.0       8.100789      3.244813    0.000000       6.000000       8.000000      10.000000  7.500000e+01
stats_core_goals                                      75445.0       1.688581      1.449146    0.000000       1.000000       1.000000       2.000000  4.300000e+01
stats_core_goals_against                              75445.0       2.967804      1.788410    0.000000       2.000000       3.000000       4.000000  2.200000e+01
stats_core_saves                                      75445.0       2.036782      1.538208    0.000000       1.000000       2.000000       3.000000  2.500000e+01
stats_core_assists                                    75445.0       0.774365      0.886903    0.000000       0.000000       1.000000       1.000000  6.000000e+00
stats_core_score                                      75445.0     558.227212    240.806451    0.000000     399.000000     532.000000     683.000000  1.063000e+04
stats_core_shooting_percentage                        75445.0      38.928049     29.725202    0.000000      20.000000      33.333332      50.000000  3.000000e+02
stats_boost_bpm                                       75445.0     419.624932     56.195570    0.000000     385.000000     419.000000     453.000000  6.976000e+03
stats_boost_bcpm                                      75445.0     436.542127     53.864922    0.000000     400.254880     435.573270     471.750580  8.206545e+02
stats_boost_avg_amount                                75445.0      48.046678      4.891304    0.000000      44.810000      48.030000      51.280000  1.000000e+02
stats_boost_amount_collected                          75445.0    2336.520114    455.317827    0.000000    2057.000000    2354.000000    2635.000000  5.082000e+03
stats_boost_amount_stolen                             75445.0     495.215588    186.680415    0.000000     362.000000     486.000000     618.000000  1.502000e+03
stats_boost_amount_collected_big                      75445.0    1666.097555    442.239566    0.000000    1409.000000    1683.000000    1953.000000  4.033000e+03
stats_boost_amount_stolen_big                         75445.0     294.774763    161.615617    0.000000     184.000000     285.000000     395.000000  1.218000e+03
stats_boost_amount_collected_small                    75445.0     670.422559    310.881183    0.000000     534.000000     639.000000     747.000000  5.082000e+03
stats_boost_amount_stolen_small                       75445.0     200.440824     71.667249    0.000000     150.000000     195.000000     245.000000  6.870000e+02
stats_boost_count_collected_big                       75445.0      20.158513      5.436509    0.000000      17.000000      20.000000      24.000000  5.700000e+01
stats_boost_count_stolen_big                          75445.0       3.554762      1.885940    0.000000       2.000000       3.000000       5.000000  1.600000e+01
stats_boost_count_collected_small                     75445.0      56.349075     13.933170    0.000000      47.000000      56.000000      65.000000  1.400000e+02
stats_boost_count_stolen_small                        75445.0      17.583193      5.977647    0.000000      13.000000      17.000000      21.000000  4.900000e+01
